prompt_column,prime_condition,role_frame_inferred_final,n_items,total_items,share
prompt_active,active,agent>patient,228,2048,0.111328125
prompt_active,active,unknown,1820,2048,0.888671875
prompt_filler,filler,patient>(agent),190,2048,0.0927734375
prompt_filler,filler,theme>predicate,51,2048,0.02490234375
prompt_filler,filler,unknown,1807,2048,0.88232421875
prompt_no_prime,no_prime,patient>(agent),153,2048,0.07470703125
prompt_no_prime,no_prime,theme>predicate,155,2048,0.07568359375
prompt_no_prime,no_prime,unknown,1740,2048,0.849609375
prompt_passive,passive,agent>patient,8,2048,0.00390625
prompt_passive,passive,patient>(agent),284,2048,0.138671875
prompt_passive,passive,theme>predicate,177,2048,0.08642578125
prompt_passive,passive,unknown,1579,2048,0.77099609375
